127.0.0.1 - - [25/Jun/2021:14:01:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:01:23 +0900] "GET /Lecture-Web/jsp/jstl/core/forEachTagExam.jsp HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:29 +0900] "GET /Mission-Web/jsp/board/list.jsp HTTP/1.1" 200 10261
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:29 +0900] "GET /Mission-Web/resources/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:29 +0900] "GET /Mission-Web/resources/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:29 +0900] "GET /Mission-Web/resources/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:29 +0900] "GET /Mission-Web/resources/images/aa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:14:48 +0900] "GET /Mission-Web/jsp/board/detail.jsp?no=101 HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:46:06 +0900] "GET /Mission-Web/jsp/board/detail.jsp?no=121 HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:47:06 +0900] "GET /Mission-Web/jsp/board/list.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:47:08 +0900] "GET /Mission-Web/jsp/board/list.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:47:08 +0900] "GET /Mission-Web/jsp/board/list.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:47:08 +0900] "GET /Mission-Web/jsp/board/list.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [25/Jun/2021:14:47:09 +0900] "GET /Mission-Web/jsp/board/detail.jsp?no=103 HTTP/1.1" 200 1763
